14963
a	a.一,一个,一只,一件.
punch	n.打洞器,钻孔机,殴打v.以拳重击,开洞,剪票n.酒、水、糖等制成的鸡尾酒
punching	n.拳打(动名词作名词用,不可数)
punctilious	a.精密细心的,一丝苟的,拘泥形式的
punctual	a.严守时刻的,准时的,正点的
punctuality	n.准时
punctually	ad.准时地
punctuate	vt.强调(加标点于,不时打断发言等)
punctuation	n.标点
puncture	n.刺穿
pundit	n.学者,梵学者,博学的人
pungency	n.刺激性,尖刻
pungent	a.苦痛的,刺激性的,严厉的
punish	惩罚,处罚
punishment	n.惩罚
punitive	a.刑罚的,惩罚的
punk	a.颓废派的n.(俚)阿飞,朋克
punt	(橄榄球)踢凌空球
puny	a.微小的,不足取的
pup	n.小狗,幼兽,幼畜
pupa	n.蛹
pupil	n.瞳孔,学生,小学生
puppet	n.木偶,傀儡
puppeteer	n.演木偶剧的人
puppetry	n.(总称)木偶,木偶制作(或演出)
puppy	n.小狗
purblind	a.半盲的,惺松眼的,愚钝的
purchasable	a.可买到的
purchase	n.购买,购买的物品v.购买
purchaser	n.买方,购买者
pure	a.纯的,纯洁的,纯理论的,抽象的,完全的
purebred	a.(动物)纯种的
puree	n.菜泥,果泥
purely	ad.纯粹地,清洁地,贞淑地
purgation	n.净化,洗罪
purgative	n.泻药
purgatory	n.灵魂的净化,涤罪,炼狱a.涤罪的
purge	n.整肃,清除,泻药v.清除,泻,整肃
purification	n.净化(提纯)
purify	v.纯净,净化,去除
puritan	n.&a.清教徒(的)
puritanical	a.极端拘谨的
purity	n.纯净,纯正,纯粹
purlieu	n.森林边缘地,常去的地方,范围,界限
purloin	v.偷窃
purple	a.紫色的n.紫色
purport	n.意义,要旨,大要v.意味著,做为...要旨,要领是...
purpose	n.目的,意图
purposeful	a.有目的的
purposefully	有目的地自觉地
purr	v.姑噜姑噜叫,发出喉音n.姑噜姑噜声
purse	n.钱包,资金,金钱,财富v.皱起，使缩拢
purser	会计员,出纳员
pursuance	n.追求,实行
pursue	v.追捕,追求,继续从事
pursuer	n.从事者,追赶者,追求者
pursuit	n.追求,追赶,工作
purvey	v.供给,供应
purveyance	n.粮食的供给
purveyor	n.供应粮食者
purview	n.范围
pus	n.脓
push	n.推,奋力,决心v.推,挤,逼迫
push-button	按钮a.用按钮操纵的
pushcart	n.手推车
pusher	n.(毒品等的)非法销售者
pushover	n.(俚)易于征服或控制的人
pushup	n.上推(垮砂,砂眼);俯卧撑
pushy	a.强求的
pusillanimous	a.懦弱的,胆小的
puss	n.(爱称)小猫儿,少女
pussy	n.小猫,少女,女性的阴部a.多脓的
put	v.(put,put)放,安置
putative	a.假定的
putonghua	n.普通话
putrefaction	n.腐败,腐败物
putrefy	v.使腐烂
putrid	a.腐臭的
putsch	n.起义,叛乱
putt	(高尔夫球)推杆
puttee	n.绑腿,裹腿
puzzle	n.难题,迷惑v.使...困惑,为难
puzzled	v.困惑vbl.困惑
puzzlement	n.迷惑
puzzling	a.令人迷惑的,茫然不知所措的,莫名其妙的
pygmy	n.矮人,侏儒
pyjama	n.[常用复数形式](宽大的)睡衣裤
pyjamas	n.睡衣
pylon	n.高压电线架,桥塔
pyramid	n.金字塔
pyre	n.火葬柴堆
pyridine	n.吡啶,氮苯
pyromania	n.纵火狂
pyromaniac	n.放火狂a.放火狂的
pyrrhic	a.付出极大代价而获得的
pythagoras	n.毕达哥拉斯
python	n.丹舌,大蟒,巨蟒
qingdao	青岛
quack	n.庸医，(指鸭)呷呷地叫,大声闲聊,吹嘘n.(鸭子)呷呷叫声,庸医,骗子adj.骗人
quad	n.四边形(象限,四倍,四心线组,嵌块)vt用空铅填
quadrangle	n.四边形
quadrant	象限
quadrilateral	n.四边形
quadruped	n.四足兽
quadruple	ad.&a.四倍的(地)n.(使)乘四倍v.(使)成四倍
quaff	v.一口气喝干,大口地喝n.一饮而尽,痛饮
quagmire	n.沼泽(绝境)
quail	n.鹌鹑
quaint	a.古雅的,离奇有趣的,奇怪的
quaintly	ad.古雅别致,离奇有趣地,优雅地
quake	n.地震
quaker	n.教友派信徒
qualification	n.资格,条件,限制
qualifications	n.资格,条件
qualified	a.有资格的vbl.取得资格
qualifier	n.给与资格的人,限定物,限定句
qualify	v.取得资格,有资格
qualitative	a.性质上的,质的,定性的
quality	n.品质,特质,才能
qualm	n.疑惧,紧张不安
quandary	n.困惑,迷惑,为难
quantifiable	a.可以计量的
quantify	v.定量，表示份量，称量，量化
quantitative	a.数量的,定量的
quantity	n.量,数量,大量
quantization	量子化,数字化
quantize	量化,数字转换
quantum	n.分配量,额,量
quarantine	n.隔离,封锁交通,检疫期间v.检疫,停止交涉
quark	夸克
quarrel	n.吵架,反目,怨言v.吵架,争论,挑剔
quarrelsome	a.喜欢争吵的
quarry	n.采石场,猎获物,出处v.挖出,苦心找出
quart	n.夸脱
quarter	a.四分之一的n.四分之一,一刻钟vt.四等分
quarterback	vt.操纵(对...发号施令)
quarterly	a.季度的ad.每季一次n.季刊
quarters	n.营房,住处
quartet	n.四重奏
quartz	n.石英
quasar	n.恒星状球体,半星球体,类星球体
quash	v.压碎,镇定,镇压
quasi	a.类似的,外表的
quaver	n.颤音vi.用颤声说(唱),震动,颤抖
quay	n.码头
queasy	a.催吐的,使人呕吐的,反胃的;不稳定的、不确定的.
quebec	n.魁北克(加拿大港市省名)
queen	n.女王,王后
queen-size	大号的
queensland	昆士兰州(澳大利亚)
queer	n.同性恋者a.奇怪的,不舒服的,可疑的
quell	v.压制,平息,镇定
quench	v.熄减,结束,冷浸,解渴
querulous	a.鸣不平的,发牢骚的,易怒的
query	n.疑问,疑问号,质问v.问
quest	n.探索,寻求v.寻找,找,追寻猎物
question	n.问题,疑问,疑问句v.询问,审问,怀疑
questionable	a.可疑的,可置疑的
questioner	n.质问者,发问者
questioning	质问
questionnaire	n.调查表
queue	n.行列,长队v.排队vi.排长队
quibble	n.遁辞,谬论,双关话v.推托,说模棱两可的话,说俏皮话
quick	a.快的,迅速的ad.快,迅速地n.皮下（尤指指甲下）细嫩或敏感的肉；活肉
quicken	v.加快,使...有生气,鼓舞
quickie	n.草草完成的劣品
quickly	ad.快,迅速
quicksand	n.流沙
quick-witted	a.反应灵敏的
quid	n.咀嚼物,烟草块n.（英国口语）一英镑（单复同型）
quiescent	a.静止的,不活动的,寂静的
quiet	n.安静,闲适,平静a.安静的,静止的,宁静的v.静止,使...减少,使...安心
quieten	v.(使)平静下来
quietly	a.寂静地,静止地ad.安静地,平静地
quietness	n.平静,安定,安静
quietude	n.安静,静止
quill	n.羽茎,大翎毛,鹅毛笔
quilt	n.被子
quinine	n.奎宁
quintessence	n.精粹,(物体)最纯粹的形体,典型
quintet	五位字节
quintuplet	n.五胞胎之一
quip	n.警句,名言,讽刺v.说讽刺的话,嘲弄,托辞
quirk	n.怪癖
quisling	n.卖国贼,内奸
quit	v.离开,辞职,停止
quite	ad.很,十分
quitter	n.轻易停止的人,懒人,无志气的人
quiver	n.震动,颤抖,箭袋v.颤抖,振动
quixotic	a.唐吉诃德式的,狂想家的
quiz	n.小考,随堂测验,恶作剧v.简单测验,恶作剧
quizzical	a.可笑的(嘲弄的,好奇的)
quondam	a.过去的,以前的
quorum	n.法定人数
quota	n.配额,限额
quotation	n.1．引语,语录2．报价单3．行情表quoten.引用v.引述,举证,报价
quotidian	a.每日的,平凡的
quotient	n.商
rabbi	n.犹太的法学博士,法师,先生
rabbit	n.兔子
rabble	n.乌合之众,暴民,下等人
rabid	a.猛烈的,热烈的,急进的
rabies	n.狂犬病
race	n.种族,赛跑v.赛跑,竞赛
racecourse	n.赛马跑道,赛马场
racehorse	n.赛马用的马
racer	n.赛马者,比赛者,比赛用汽车
racetrack	n.跑道(共振加速器中粒子轨道)
racial	a.种族的
racially	ad.种族地
racing	a.疾行的vbl.赛跑,疾行
racism	n.民族的差别主义,人种偏见
racist	n.民族差别主义者
rack	n.架,行李架,拷问台v.折磨,使...痛苦,加以拷问
racket	n.球拍,喧闹纷乱
racketeer	n.敲诈者,获取不正当钱财的人v.诈取钱财
raconteur	n.善于讲故事的人
racy	a.保持原味的,活泼的,生动的
radar	n.雷达
radial	a.光线的,光线状的,放射状的
radian	弧度
radiance	n.光辉,闪烁
radiant	a.发光的,明亮的,辐射的
radiate	v.放射,散发,辐射
radiation	n.辐射
radiator	n.暖气片,散热器
radical	n.激进份子,原子团,激进派a.急进的,根本的,激进的,基本的,彻底的
radically	ad.根本地,完全地
radio	n.收音机v.用无线电通讯
radioactive	a.放射性的
radioactivity	n.放射性
radiochemistry	n.放射化学
radioisotope	n.放射性同位素
radiotherapy	n.放射线疗法
radish	n.萝卜
radium	n.镭
radius	n.半径
radix	基数,根
radon	n.氡
raffish	a.名誉不好的,无赖的,卑鄙的
raffle	n.废物(绳索什物)vt抽彩
raft	n.筏,救生艇,大量v.乘筏,制成筏
rafter	n.椽,椽架屋顶v.装椽
rag	n.破布,碎布鲁尔煤矿(财富500强公司之一，总部所在地德国,主要经营采矿)
ragamuffin	n.衣衫褴褛的人
rage	n.愤怒,情绪激动v.发怒,震怒,风行
ragged	a.衣衫褴褛的,粗糙的,刺耳的
raging	a.狂暴的
ragtime	n.拉格泰姆音乐(期间在美国流行的一种音乐)
raid	n.突然袭击,搜捕v.劫掠,攫取,突击搜捕,袭击
raider	n.袭击者,侵入者
rail	n.栏杆,铁轨,扶手v.以横木围栏,铺铁轨
railhead	n.铁路端点(轨头,垂直刀架)
railing	n.栏杆
raillery	n.善意的嘲弄
railroad	n.铁路v.由铁道运输vi.由铁路运输
railway	n.铁路v.由铁道运输
raiment	n.衣服
rain	n.雨v.下雨
rainbow	n.彩虹
raincoat	n.雨衣
raindrop	n.雨滴,雨点
rained	动词rain的过去式
rainfall	n.降雨量
raining	下雨的
rainstorm	n.暴风雨
rainy	a.多雨的,下雨的
raise	n.上升,高地,增高v.升起,举起,饲养
raised	a.凸起的,浮雕的,有凸起花纹的,发酵的
raiser	n.提高者,饲养者,栽培者
raisin	n.葡萄干
rajah	n.<印>王侯,首长
rake	n.耙子,集赌金工具,向船尾的倾斜v.向船尾,了望,用耙子
rakish	a.轻快的,俏皮的,潇洒的,放荡的
rally	n.集会,重振旗鼓,示威运动v.重整旗鼓,恢复精神
ram	随机存取存储器
ramadan	n.斋月
ramble	n.漫步,闲谈v.漫步,漫谈,漫游
rambler	n.漫步者,无目的地移动之物,攀缘蔷薇
rambling	a.杂乱无章的
rambunctious	a.喧闹的,放纵的
ramification	n.分枝,分叉,衍生物,支流
ramify	v.(使)分枝,(使)分叉,(使)成网状
ramp	n.斜坡,坡道,诈欺v.狂跳乱撞,乱冲,造倾斜路面
rampage	n.暴怒v.狂暴地乱冲
rampant	a.猖獗的,蔓延的,奔放的
rampart	n.垒,壁垒,城墙v.用壁垒围绕,防卫,守卫
ramshackle	a.摇摇欲坠的
ran	v.跑,跑步,延续
ranch	n.牧场
rancher	n.大牧场工人,大牧场主
rancid	a.腐臭的
rancor	n.敌意,恨意
rancorous	a.怨恨的,憎恨的
random	n.随意,任意a.任意的,随便的,胡乱的
randomly	ad.任意地,随便地,胡乱地
randomness	随机性
randy	a.喧闹的,有劲的大声的,乱闹的n.挑剔的女人
rang	ring的过去式
range	n.范围,行列,射程v.排列,归类于,延伸n.山脉
rangeland	n.<美>牧场,放牧地
ranger	n.守林人，骑警，突击队员
rank	n.排名,等级,军衔,阶级a.繁茂的,恶臭的,讨厌的v.排列,归类于,列于
ranking	a.最高级的,一流的n.分等级,名次,队
rankle	v.化脓,痛,使心痛
ransack	v.彻底搜索,洗劫vt.彻底搜索
ransom	n.赎金,赎身,赎回
rant	v.咆哮,激昂地说n.咆哮,激昂的演说
rap	n.轻敲,拍击,责骂v.轻敲,厉声说出,叱责
rapacious	a.强夺的,贪欲的,贪婪的
rapacity	n.掠夺,贪婪
rape	n.抢夺,掠夺,强奸v.掠夺,抢夺,强奸
rapid	a.迅速的,飞快的,急促的
rapidity	n.迅速,急速,速度
rapidly	ad.迅速地
rapids	n.急流,湍流
rapine	n.劫掠,掠夺
rapist	n.强奸者
rapport	n.关系,同意,一致
rapprochement	n.友好关系的建立(恢复友好关系)
rapscallion	n.流氓,恶棍
rapt	a.全神贯注的,入迷的,出神的
rapture	n.狂喜v.使狂喜
rapturous	a.着迷的,狂喜的
rare	a.稀罕的,罕见的,珍贵的
rarefied	a.稀薄的
rarely	ad.很少,难得
rarity	n.稀薄(稀有,珍品)
rascal	n.流氓,坏蛋,淘气鬼
rash	a.轻率的,匆忙的,卤莽的n.疹子,皮疹
rashly	ad.莽撞地,冒失地
rashness	n.疹：皮肤上短暂出现的疹子，如荨麻疹、药疹和病毒疹,轻率,鲁莽
raspberry	n.覆盆子,舌头放在唇间发出的声音
raspy	a.刺耳的,粗糙的,易怒的
raster	光栅,扫描线
rat	n.鼠v.背叛,背信
rate	n.比率,等级,价格v.估价,认为,检定等级
rated	额定的
rather	ad.宁可,宁愿,有些,相当
ratification	n.批准,认可
ratify	v.批准,认可
rating	n.等级
ratio	n.比,比率
ratiocination	n.推理,推论
ration	n.定额,定量,配给
rational	a.合理的,理性的n.有理数
rationale	n.基本原理(理论基础的说明,原理的阐述)
rationalism	n.理性主义,唯理论
rationality	n.理性
rationalization	n.合理化
rationalize	vt.合理化(合理地说明,使...消根)
rationally	ad.理性地
rationing	n.定量供应
rattan	n.藤,藤茎,藤杖
rattle	v.使...嘎嘎响,喋喋不休地说,急促地谈vt使...慌乱,激动
rattlesnake	n.响尾蛇
raucous	a.沙声的,粗声的,刺耳的
ravage	n.破坏,蹂躏v.毁坏,破坏,掠夺
rave	n.狂吼,狂暴v.愤怒地说,叫嚷,咆哮
ravel	v.散开,解除
raven	n.大乌鸦a.乌黑的v.掠夺
ravening	a.贪婪而饥饿的
ravenous	a.贪婪的(渴望的)
ravine	n.峡谷,山峡,溪谷
ravish	v.迷住,强夺
ravishing	a.令人陶醉的
ravishment	n.狂喜,陶醉
raw	a.生的
rawhide	n.(牛的)生皮
rawlings	(姓)
ray	n.光线,射线,雷(男子名)
raymond	n.雷蒙德（男子名）
raze	v.消除,抹去,破坏
razor	n.剃刀
re	prep.再,重新
reach	n.延伸,范围,河段v.到达,伸出,延伸
react	v.反应,起作用,反动
reactant	n.反应物
reaction	n.反应
reactionary	n.反动者,反动主义者a.反动的,反动主义的,反对改革的
reactivate	v.使恢复现役,再开工
reactive	a.反动的,反应性的,反冲的
reactor	n.反应堆
read	读,阅读,看懂,理解
readability	可读性
readable	a.值得一读的,易读的,读起来津津有味的
reader	n.读物,读本,读者
readership	n.(某一报刊杂志等的)读者们
readily	ad.不迟疑地,迅速地,轻易地
readiness	n.预备,准备,敏捷
reading	a.阅读的n.阅读
readjust	vi.再调整
readout	n.资料解析
ready	a.准备好的,乐意的,情愿的
ready-made	a.现成的,做好的,平凡的,陈旧的
reaffirm	vt.重申,再肯定
reagan	里根(姓)
reagent	n.试药,试剂
real	a.实际的,现实的,真的,真实的
realism	n.写实主义,现实
realist	a.现实主义的(作家)n.现实主义者
realistic	a.现实的,现实主义的
realistically	ad.实际地,现实地
reality	n.现实,实际,真实
realization	n.实现,领悟,实得
realize	v.了解,实现,净得察觉;领悟
really	ad.真正地,实在
realm	n.王国,领域
real-time	实时
realtor	房地产,经纪人
realty	n.不动产
ream	n.令,连,大量的纸v.扩展,扩大,削掉
reanalyze	v.再分析
reanimate	v.使复活,使复苏
reap	v.收获,获得
reaper	n.收割者,收割机
reappear	v.再出现
rear	n.后面,背后a.后面的,背面的,后方的v.养育,饲养,举起
rearrange	重新整理,重新排序
rearrest	n.重新扣留(拘捕)v.重新拘捕(逮捕)
reason	n.理由,原因,理智,理性v.说服,推论,下判断
reasonable	a.合理的,有道理的,适度,通情达理的ad.合理地
reasonably	ad.适度地,相当地
reasoning	n.推论,推理,论证vbl.说服,推论
reassemble	重装,再汇编
reassessment	n.重新评估
reassurance	n.安心,放心,再保证
reassure	v.使...安心,再保证
reassuring	a.安心的,可靠的,坚强的
reassuringly	ad.安慰地
rebarbative	a.厌烦的,令人讨厌的,难看的
rebate	n.减少vt减少(使...变钝)
rebecca	n.丽贝卡(女子名)
rebel	n.叛徒,反叛者v.反抗,谋反,抵抗
rebellion	n.谋反,叛乱,反抗
rebellious	a.造反的,反抗的,难控制的
rebinding	重新连接
rebirth	n.新生,复兴
reboot	再引导
reborn	a.再生的,新生的
rebound	v.弹回vi.&n.弹回,跳回
rebuff	n.断然拒绝,严厉拒绝,漠不关心v.严厉拒绝
rebuild	v.再建,改建,重建
rebuke	n.指责,谴责,非难v.斥责,指责,非难
rebus	n.谜,谜绘
rebut	v.反驳,举反证
rebuttal	n.反驳,反证
recalcitrance	n.固执,顽抗
recalcitrant	a.反抗的,反对的,顽强的n.反抗的人,顽强者
recalibrate	重校
recall	n.回忆,召回,取消v.回想起,召回,恢复
recant	vt.放弃主张(撤销,改变,公开认错)
recantation	n.改变宗教信仰
recapitulate	v.重述要点,概括,摘要
recapture	n.取回,夺回v.拿回,夺回
recast	v.彻底改动,重做
recede	v.向后退,退却,减弱
receipt	n.收据
receivable	a.可接受的,可信的n.应收帐款
receive	v.收到,接受,迎接
received	被接收的,标准的
receiver	n.接收器,收款员,接待者
